group_size,batch_prompts,algorithm,step,optimizer_steps,sampled_actions,pair_presentations,expected_reward,best_action_probability,entropy,kl_reference,loss,value_loss,clip_fraction,old_policy_kl,zero_group_fraction
2,64,grpo,119,476,15232,0,0.9983198320159083,0.9984286586235953,0.012288621361035038,1.0863236673070746,0.03262772512506861,0.0,0.0,1.9476359192106437e-06,1.0
2,64,grpo,120,480,15360,0,0.9983326872598828,0.998436344595987,0.012217596370323821,1.086394692297786,0.032628348275404215,0.0,0.0,7.353192097465252e-07,1.0
4,32,grpo,0,0,0,0,0.23333333333333334,0.3333333333333333,1.0986122886681096,0.0,0.0,0.0,0.0,0.0,0.0
4,32,grpo,1,4,128,0,0.3752133567182001,0.41714624274615775,1.066871395289822,0.03174089337828787,-0.1125673854311459,0.0,0.6328125,0.033618355185590185,0.125
4,32,grpo,2,8,256,0,0.5127345757556635,0.5331265646026505,0.991210356646752,0.10740193202135764,-0.13064540022443147,0.0,0.75,0.02978185244954419,0.03125
4,32,grpo,3,12,384,0,0.6491867718394856,0.6627801085608163,0.8548467182306796,0.2437655704374303,-0.1522623944970968,0.0,1.0,0.03614548769945255,0.03125
4,32,grpo,4,16,512,0,0.7626299401100651,0.7734912439928131,0.6814826906897172,0.41712959797839244,-0.10383431122991423,0.0,0.3203125,0.031954887045857916,0.21875
4,32,grpo,5,20,640,0,0.8437215404542687,0.8517150173444737,0.5164013765929605,0.5822109120751493,-0.06115861716390293,0.0,0.2265625,0.021623036805781128,0.375
4,32,grpo,6,24,768,0,0.8944087482094212,0.9003831549770036,0.3894239530855983,0.7091883355825115,-0.02632423366522178,0.0,0.1484375,0.011908393417831587,0.5625
4,32,grpo,7,28,896,0,0.9257393708416238,0.9304746744817625,0.29796883562156,0.8006434530465498,-0.013996435969987408,0.0,0.1171875,0.00635350709008678,0.625
4,32,grpo,8,32,1024,0,0.9458156358691797,0.9497446168180129,0.23243272342758037,0.8661795652405293,-0.0011878711089535025,0.0,0.0859375,0.003584457507125705,0.71875
4,32,grpo,9,36,1152,0,0.9574948691290486,0.9607836809640564,0.19137661076929224,0.9072356778988175,0.024302403566956933,0.0,0.0078125,0.0015536358330541517,0.96875
4,32,grpo,10,40,1280,0,0.9648037018652151,0.9676703248137228,0.1640451824943333,0.9345671061737766,0.02161065369471604,0.0,0.0078125,0.0007605287336342414,0.90625
